Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type,Mean_Temperature_F
13529,4296,9/7/2013 12:56,San Francisco Caltrain (Townsend at 4th),70,9/7/2013 14:08,Harry Bridges Plaza (Ferry Building),50,512,Customer,74
13629,871,9/7/2013 13:57,Evelyn Park and Ride,30,9/7/2013 14:12,Evelyn Park and Ride,30,10,Subscriber,74
13646,178,9/7/2013 14:14,Evelyn Park and Ride,30,9/7/2013 14:17,Evelyn Park and Ride,30,54,Subscriber,74
14364,2835,9/8/2013 10:44,Mountain View Caltrain Station,28,9/8/2013 11:31,University and Emerson,35,647,Customer,70
14392,3470,9/8/2013 11:06,Mountain View City Hall,27,9/8/2013 12:04,Mountain View City Hall,27,130,Customer,70
14393,3449,9/8/2013 11:06,Mountain View City Hall,27,9/8/2013 12:04,Mountain View City Hall,27,22,Customer,70
15207,536,9/9/2013 8:19,San Jose Diridon Caltrain Station,2,9/9/2013 8:28,MLK Library,11,662,Subscriber,70
15262,612,9/9/2013 8:52,San Francisco Caltrain (Townsend at 4th),70,9/9/2013 9:02,Steuart at Market,74,270,Subscriber,70
15709,506,9/9/2013 15:54,Steuart at Market,74,9/9/2013 16:03,San Francisco Caltrain (Townsend at 4th),70,270,Subscriber,70
15712,912,9/9/2013 15:55,Mountain View Caltrain Station,28,9/9/2013 16:11,San Antonio Caltrain Station,29,49,Customer,70
15769,235,9/9/2013 16:51,Mountain View Caltrain Station,28,9/9/2013 16:55,Mountain View City Hall,27,151,Subscriber,70
15828,516,9/9/2013 17:27,SJSU 4th at San Carlos,12,9/9/2013 17:36,San Jose Diridon Caltrain Station,2,30,Subscriber,70
16297,730,9/10/2013 8:46,San Francisco Caltrain (Townsend at 4th),70,9/10/2013 8:59,Spear at Folsom,49,416,Subscriber,70
17118,752,9/10/2013 18:48,Spear at Folsom,49,9/10/2013 19:00,San Francisco Caltrain 2 (330 Townsend),69,605,Subscriber,70
17503,322,9/11/2013 8:46,San Francisco Caltrain 2 (330 Townsend),69,9/11/2013 8:52,5th at Howard,57,466,Subscriber,66
17660,311,9/11/2013 10:57,Redwood City Caltrain Station,22,9/11/2013 11:02,Redwood City Medical Center,26,132,Subscriber,66
18037,311,9/11/2013 16:50,5th at Howard,57,9/11/2013 16:55,San Francisco Caltrain (Townsend at 4th),70,612,Subscriber,66
18078,355,9/11/2013 17:09,Redwood City Medical Center,26,9/11/2013 17:15,Redwood City Caltrain Station,22,132,Subscriber,66
18642,549,9/12/2013 8:48,San Francisco Caltrain (Townsend at 4th),70,9/12/2013 8:57,Steuart at Market,74,426,Subscriber,67
18800,757,9/12/2013 10:12,San Francisco Caltrain 2 (330 Townsend),69,9/12/2013 10:25,5th at Howard,57,484,Subscriber,67
19048,3324,9/12/2013 13:09,Harry Bridges Plaza (Ferry Building),50,9/12/2013 14:04,Embarcadero at Sansome,60,553,Subscriber,67
19114,591,9/12/2013 14:07,Embarcadero at Sansome,60,9/12/2013 14:17,Harry Bridges Plaza (Ferry Building),50,278,Subscriber,67
19247,566,9/12/2013 16:21,Steuart at Market,74,9/12/2013 16:30,San Francisco Caltrain (Townsend at 4th),70,491,Subscriber,67
19300,302,9/12/2013 16:55,5th at Howard,57,9/12/2013 17:00,San Francisco Caltrain (Townsend at 4th),70,398,Subscriber,67
19415,289,9/12/2013 17:50,Mountain View Caltrain Station,28,9/12/2013 17:54,Mountain View City Hall,27,147,Subscriber,67
20029,613,9/13/2013 9:45,San Francisco Caltrain (Townsend at 4th),70,9/13/2013 9:55,Steuart at Market,74,504,Subscriber,66
20073,311,9/13/2013 10:08,San Francisco Caltrain 2 (330 Townsend),69,9/13/2013 10:14,5th at Howard,57,388,Subscriber,66
20117,333,9/13/2013 10:55,Redwood City Caltrain Station,22,9/13/2013 11:01,Redwood City Medical Center,26,213,Subscriber,66
20419,1074,9/13/2013 14:18,Townsend at 7th,65,9/13/2013 14:35,Embarcadero at Vallejo,48,547,Customer,66
20529,648,9/13/2013 16:07,Steuart at Market,74,9/13/2013 16:18,San Francisco Caltrain (Townsend at 4th),70,600,Subscriber,66
20595,315,9/13/2013 16:56,5th at Howard,57,9/13/2013 17:01,San Francisco Caltrain (Townsend at 4th),70,395,Subscriber,66
20666,481,9/13/2013 17:27,Mountain View Caltrain Station,28,9/13/2013 17:35,Mountain View City Hall,27,125,Subscriber,66
20765,647,9/13/2013 18:14,Embarcadero at Vallejo,48,9/13/2013 18:25,2nd at Townsend,61,576,Customer,66
21015,428,9/13/2013 22:45,2nd at Townsend,61,9/13/2013 22:52,Townsend at 7th,65,358,Customer,66
21359,879,9/14/2013 13:28,San Francisco Caltrain 2 (330 Townsend),69,9/14/2013 13:43,San Francisco City Hall,58,425,Customer,64
21739,251,9/14/2013 18:06,San Antonio Caltrain Station,29,9/14/2013 18:10,San Antonio Caltrain Station,29,139,Subscriber,64
21740,157,9/14/2013 18:07,San Antonio Caltrain Station,29,9/14/2013 18:09,San Antonio Caltrain Station,29,142,Subscriber,64
22587,1768,9/15/2013 17:59,Mountain View City Hall,27,9/15/2013 18:28,Mountain View City Hall,27,160,Customer,66
22895,847,9/16/2013 8:53,San Francisco Caltrain (Townsend at 4th),70,9/16/2013 9:07,Steuart at Market,74,480,Subscriber,68
23433,563,9/16/2013 16:12,Steuart at Market,74,9/16/2013 16:21,San Francisco Caltrain (Townsend at 4th),70,617,Subscriber,68
23446,993,9/16/2013 16:20,San Jose City Hall,10,9/16/2013 16:37,MLK Library,11,704,Subscriber,68
23835,501,9/16/2013 20:29,Yerba Buena Center of the Arts (3rd @ Howard),68,9/16/2013 20:38,San Francisco Caltrain 2 (330 Townsend),69,291,Customer,68
23896,690,9/16/2013 22:26,Embarcadero at Vallejo,48,9/16/2013 22:38,San Francisco Caltrain (Townsend at 4th),70,552,Customer,68
24053,363,9/17/2013 8:05,San Jose Diridon Caltrain Station,2,9/17/2013 8:11,San Pedro Square,6,42,Subscriber,65
24063,1107,9/17/2013 8:08,San Francisco Caltrain (Townsend at 4th),70,9/17/2013 8:27,South Van Ness at Market,66,501,Subscriber,65
24319,456,9/17/2013 10:09,San Francisco Caltrain 2 (330 Townsend),69,9/17/2013 10:16,Yerba Buena Center of the Arts (3rd @ Howard),68,389,Subscriber,65
24872,346,9/17/2013 17:12,Mountain View Caltrain Station,28,9/17/2013 17:18,Mountain View City Hall,27,154,Subscriber,65
24928,267,9/17/2013 17:32,San Pedro Square,6,9/17/2013 17:36,San Jose Diridon Caltrain Station,2,50,Subscriber,65
25280,99,9/17/2013 20:25,San Jose Diridon Caltrain Station,2,9/17/2013 20:27,San Jose Diridon Caltrain Station,2,645,Subscriber,65
25463,1142,9/18/2013 7:44,San Francisco Caltrain (Townsend at 4th),70,9/18/2013 8:03,Townsend at 7th,65,446,Subscriber,66
25503,258,9/18/2013 8:11,San Jose Diridon Caltrain Station,2,9/18/2013 8:15,San Pedro Square,6,50,Subscriber,66
25573,552,9/18/2013 8:44,San Francisco Caltrain (Townsend at 4th),70,9/18/2013 8:53,Steuart at Market,74,433,Subscriber,66
25623,636,9/18/2013 9:02,San Jose Diridon Caltrain Station,2,9/18/2013 9:13,MLK Library,11,676,Subscriber,66
25761,334,9/18/2013 10:09,San Francisco Caltrain 2 (330 Townsend),69,9/18/2013 10:14,5th at Howard,57,513,Subscriber,66
25762,815,9/18/2013 10:09,San Francisco Caltrain 2 (330 Townsend),69,9/18/2013 10:23,Harry Bridges Plaza (Ferry Building),50,625,Subscriber,66
25865,326,9/18/2013 11:52,Redwood City Caltrain Station,22,9/18/2013 11:58,Redwood City Medical Center,26,307,Subscriber,66
25902,499,9/18/2013 12:20,Townsend at 7th,65,9/18/2013 12:29,Civic Center BART (7th at Market),72,437,Subscriber,66
26007,939,9/18/2013 13:21,San Jose City Hall,10,9/18/2013 13:36,MLK Library,11,686,Subscriber,66
26202,507,9/18/2013 15:56,Steuart at Market,74,9/18/2013 16:05,San Francisco Caltrain (Townsend at 4th),70,577,Subscriber,66
26298,250,9/18/2013 16:50,5th at Howard,57,9/18/2013 16:54,San Francisco Caltrain (Townsend at 4th),70,487,Subscriber,66
26304,248,9/18/2013 16:54,Mountain View Caltrain Station,28,9/18/2013 16:58,Mountain View City Hall,27,144,Subscriber,66
26918,357,9/19/2013 8:09,San Jose Diridon Caltrain Station,2,9/19/2013 8:15,San Pedro Square,6,30,Subscriber,66
27077,241,9/19/2013 9:20,San Francisco Caltrain 2 (330 Townsend),69,9/19/2013 9:24,5th at Howard,57,290,Subscriber,66
27207,346,9/19/2013 10:54,Redwood City Caltrain Station,22,9/19/2013 11:00,Redwood City Medical Center,26,227,Subscriber,66
27580,854,9/19/2013 15:07,San Jose City Hall,10,9/19/2013 15:21,MLK Library,11,187,Subscriber,66
27717,287,9/19/2013 16:49,5th at Howard,57,9/19/2013 16:54,San Francisco Caltrain (Townsend at 4th),70,461,Subscriber,66
27825,183,9/19/2013 17:35,Santa Clara at Almaden,4,9/19/2013 17:38,San Jose Diridon Caltrain Station,2,502,Subscriber,66
28086,880,9/19/2013 20:38,Harry Bridges Plaza (Ferry Building),50,9/19/2013 20:53,San Francisco Caltrain (Townsend at 4th),70,496,Subscriber,66
28115,2841,9/19/2013 20:57,San Francisco Caltrain (Townsend at 4th),70,9/19/2013 21:45,San Francisco Caltrain (Townsend at 4th),70,631,Subscriber,66
28167,491,9/19/2013 23:43,San Antonio Caltrain Station,29,9/19/2013 23:52,Rengstorff Avenue / California Street,33,105,Subscriber,66
28459,314,9/20/2013 9:24,San Francisco Caltrain 2 (330 Townsend),69,9/20/2013 9:29,5th at Howard,57,599,Subscriber,65
29773,8196,9/21/2013 13:39,Mountain View Caltrain Station,28,9/21/2013 15:56,Mountain View City Hall,27,71,Customer,64
30054,850,9/21/2013 19:35,San Francisco Caltrain (Townsend at 4th),70,9/21/2013 19:49,Beale at Market,56,598,Subscriber,64
30067,356,9/21/2013 19:53,Beale at Market,56,9/21/2013 19:59,Spear at Folsom,49,279,Subscriber,64
30458,713,9/22/2013 12:45,Post at Kearney,47,9/22/2013 12:57,Harry Bridges Plaza (Ferry Building),50,369,Customer,61
30556,884,9/22/2013 14:04,Harry Bridges Plaza (Ferry Building),50,9/22/2013 14:19,Embarcadero at Sansome,60,487,Customer,61
31094,2115,9/23/2013 7:45,San Francisco Caltrain (Townsend at 4th),70,9/23/2013 8:20,Embarcadero at Sansome,60,325,Subscriber,66
31097,184,9/23/2013 7:46,Mountain View City Hall,27,9/23/2013 7:49,Mountain View Caltrain Station,28,152,Subscriber,66
31225,559,9/23/2013 8:49,San Francisco Caltrain (Townsend at 4th),70,9/23/2013 8:58,Steuart at Market,74,550,Subscriber,66
31274,451,9/23/2013 9:10,San Jose Diridon Caltrain Station,2,9/23/2013 9:17,MLK Library,11,502,Subscriber,66
31387,316,9/23/2013 10:17,San Francisco Caltrain 2 (330 Townsend),69,9/23/2013 10:22,5th at Howard,57,549,Subscriber,66
31471,883,9/23/2013 11:38,San Jose City Hall,10,9/23/2013 11:53,MLK Library,11,116,Subscriber,66
31498,304,9/23/2013 11:50,Redwood City Caltrain Station,22,9/23/2013 11:55,Redwood City Medical Center,26,705,Subscriber,66
31620,317,9/23/2013 13:37,SJSU 4th at San Carlos,12,9/23/2013 13:43,St James Park,13,99,Subscriber,66
31636,377,9/23/2013 13:52,San Jose City Hall,10,9/23/2013 13:58,SJSU - San Salvador at 9th,16,642,Subscriber,66
31782,572,9/23/2013 16:03,Steuart at Market,74,9/23/2013 16:12,San Francisco Caltrain (Townsend at 4th),70,284,Subscriber,66
31809,656,9/23/2013 16:16,MLK Library,11,9/23/2013 16:27,San Jose Diridon Caltrain Station,2,46,Subscriber,66
31867,230,9/23/2013 16:44,Redwood City Medical Center,26,9/23/2013 16:48,Redwood City Public Library,24,307,Subscriber,66
31917,272,9/23/2013 17:05,Redwood City Public Library,24,9/23/2013 17:09,Redwood City Medical Center,26,307,Subscriber,66
31934,209,9/23/2013 17:11,Mountain View Caltrain Station,28,9/23/2013 17:15,Mountain View City Hall,27,119,Subscriber,66
32045,319,9/23/2013 17:52,5th at Howard,57,9/23/2013 17:57,San Francisco Caltrain (Townsend at 4th),70,613,Subscriber,66
32188,327,9/23/2013 19:14,Redwood City Medical Center,26,9/23/2013 19:19,Redwood City Caltrain Station,22,307,Subscriber,66
32324,1752,9/23/2013 22:01,Mountain View City Hall,27,9/23/2013 22:31,Mountain View City Hall,27,160,Customer,66
32325,1703,9/23/2013 22:02,Mountain View City Hall,27,9/23/2013 22:30,Mountain View City Hall,27,129,Customer,66
32486,207,9/24/2013 7:54,Mountain View City Hall,27,9/24/2013 7:57,Mountain View Caltrain Station,28,165,Subscriber,65
32787,318,9/24/2013 10:42,San Francisco Caltrain 2 (330 Townsend),69,9/24/2013 10:47,5th at Howard,57,428,Subscriber,65
32973,1594,9/24/2013 12:47,San Jose City Hall,10,9/24/2013 13:14,MLK Library,11,50,Subscriber,65
33310,244,9/24/2013 16:59,5th at Howard,57,9/24/2013 17:03,San Francisco Caltrain (Townsend at 4th),70,455,Subscriber,65
33424,315,9/24/2013 17:51,Mountain View Caltrain Station,28,9/24/2013 17:56,Mountain View City Hall,27,647,Subscriber,65
33839,188,9/25/2013 7:47,Mountain View City Hall,27,9/25/2013 7:50,Mountain View Caltrain Station,28,125,Subscriber,62
33990,524,9/25/2013 8:46,San Francisco Caltrain (Townsend at 4th),70,9/25/2013 8:55,Steuart at Market,74,478,Subscriber,62
34071,726,9/25/2013 9:18,San Jose Diridon Caltrain Station,2,9/25/2013 9:30,San Jose City Hall,10,175,Subscriber,62
34072,631,9/25/2013 9:18,San Jose Diridon Caltrain Station,2,9/25/2013 9:28,MLK Library,11,714,Subscriber,62
34122,293,9/25/2013 9:41,San Francisco Caltrain 2 (330 Townsend),69,9/25/2013 9:45,5th at Howard,57,612,Subscriber,62
34329,186,9/25/2013 12:02,Embarcadero at Bryant,54,9/25/2013 12:05,Spear at Folsom,49,608,Subscriber,62
34609,611,9/25/2013 13:48,Paseo de San Antonio,7,9/25/2013 13:58,San Jose Diridon Caltrain Station,2,709,Subscriber,62
34723,788,9/25/2013 14:58,Embarcadero at Bryant,54,9/25/2013 15:11,Clay at Battery,41,497,Subscriber,62
34746,267,9/25/2013 15:21,5th at Howard,57,9/25/2013 15:25,San Francisco Caltrain (Townsend at 4th),70,436,Subscriber,62
34767,569,9/25/2013 15:41,Steuart at Market,74,9/25/2013 15:50,San Francisco Caltrain (Townsend at 4th),70,366,Subscriber,62
34790,816,9/25/2013 15:52,San Jose City Hall,10,9/25/2013 16:05,MLK Library,11,235,Subscriber,62
34833,446,9/25/2013 16:16,San Jose City Hall,10,9/25/2013 16:24,San Jose Diridon Caltrain Station,2,196,Subscriber,62
34932,672,9/25/2013 17:12,Mechanics Plaza (Market at Battery),75,9/25/2013 17:23,Powell Street BART,39,424,Subscriber,62
35459,188,9/26/2013 7:54,Mountain View City Hall,27,9/26/2013 7:57,Mountain View Caltrain Station,28,79,Subscriber,60
35716,279,9/26/2013 10:07,San Francisco Caltrain 2 (330 Townsend),69,9/26/2013 10:11,5th at Howard,57,554,Subscriber,60
35888,1453,9/26/2013 12:31,San Jose City Hall,10,9/26/2013 12:56,Adobe on Almaden,5,45,Subscriber,60
35913,134,9/26/2013 12:47,Broadway at Main,25,9/26/2013 12:50,Redwood City Medical Center,26,228,Subscriber,60
35923,340,9/26/2013 12:57,Adobe on Almaden,5,9/26/2013 13:02,MLK Library,11,664,Subscriber,60
36235,330,9/26/2013 16:55,5th at Howard,57,9/26/2013 17:00,San Francisco Caltrain (Townsend at 4th),70,554,Subscriber,60
36505,387,9/26/2013 19:00,Mountain View Caltrain Station,28,9/26/2013 19:07,Mountain View City Hall,27,647,Customer,60
36784,175,9/27/2013 7:44,Mountain View City Hall,27,9/27/2013 7:47,Mountain View Caltrain Station,28,654,Subscriber,61
36915,533,9/27/2013 8:46,San Francisco Caltrain (Townsend at 4th),70,9/27/2013 8:55,Steuart at Market,74,571,Subscriber,61
37241,563,9/27/2013 12:27,Spear at Folsom,49,9/27/2013 12:37,Mechanics Plaza (Market at Battery),75,537,Customer,61
37300,339,9/27/2013 13:09,Mechanics Plaza (Market at Battery),75,9/27/2013 13:14,Spear at Folsom,49,635,Customer,61
37313,453,9/27/2013 13:19,Mountain View Caltrain Station,28,9/27/2013 13:27,Mountain View City Hall,27,154,Subscriber,61
37379,749,9/27/2013 14:02,San Jose City Hall,10,9/27/2013 14:15,San Jose City Hall,10,69,Subscriber,61
37421,1304,9/27/2013 14:37,Embarcadero at Vallejo,48,9/27/2013 14:59,2nd at Folsom,62,315,Customer,61
37515,599,9/27/2013 15:38,Steuart at Market,74,9/27/2013 15:48,San Francisco Caltrain (Townsend at 4th),70,486,Subscriber,61
37550,461,9/27/2013 16:03,San Jose City Hall,10,9/27/2013 16:11,San Jose Diridon Caltrain Station,2,69,Subscriber,61
37588,230,9/27/2013 16:32,Mountain View Caltrain Station,28,9/27/2013 16:36,Mountain View City Hall,27,165,Subscriber,61
37593,974,9/27/2013 16:34,Powell Street BART,39,9/27/2013 16:50,Spear at Folsom,49,278,Customer,61
38085,616,9/27/2013 22:10,2nd at Folsom,62,9/27/2013 22:21,Townsend at 7th,65,481,Customer,61
38191,644,9/28/2013 9:40,San Francisco Caltrain (Townsend at 4th),70,9/28/2013 9:50,Post at Kearney,47,462,Subscriber,63
38283,1319,9/28/2013 11:58,San Francisco Caltrain (Townsend at 4th),70,9/28/2013 12:20,Steuart at Market,74,425,Subscriber,63
38284,1319,9/28/2013 11:58,San Francisco Caltrain (Townsend at 4th),70,9/28/2013 12:20,Steuart at Market,74,529,Subscriber,63
38496,741,9/28/2013 14:36,Post at Kearney,47,9/28/2013 14:48,San Francisco Caltrain (Townsend at 4th),70,274,Subscriber,63
38904,969,9/28/2013 21:08,Golden Gate at Polk,59,9/28/2013 21:24,San Francisco Caltrain (Townsend at 4th),70,413,Subscriber,63
38905,944,9/28/2013 21:09,Golden Gate at Polk,59,9/28/2013 21:25,San Francisco Caltrain (Townsend at 4th),70,357,Subscriber,63
39703,205,9/30/2013 7:46,Mountain View City Hall,27,9/30/2013 7:50,Mountain View Caltrain Station,28,217,Subscriber,66
39867,426,9/30/2013 8:55,2nd at Townsend,61,9/30/2013 9:02,Steuart at Market,74,543,Subscriber,66
39891,562,9/30/2013 9:03,San Jose Diridon Caltrain Station,2,9/30/2013 9:13,MLK Library,11,28,Subscriber,66
40094,846,9/30/2013 11:46,San Jose City Hall,10,9/30/2013 12:00,MLK Library,11,657,Subscriber,66
40100,316,9/30/2013 11:53,Redwood City Caltrain Station,22,9/30/2013 11:58,Redwood City Medical Center,26,298,Subscriber,66
40349,514,9/30/2013 16:11,Steuart at Market,74,9/30/2013 16:19,San Francisco Caltrain (Townsend at 4th),70,432,Subscriber,66
40375,709,9/30/2013 16:24,MLK Library,11,9/30/2013 16:36,San Jose Diridon Caltrain Station,2,26,Subscriber,66
40759,334,9/30/2013 19:11,Redwood City Medical Center,26,9/30/2013 19:16,Redwood City Caltrain Station,22,298,Subscriber,66
40939,2814,10/1/2013 0:16,Mountain View Caltrain Station,28,10/1/2013 1:03,Mountain View City Hall,27,165,Customer,62
41392,869,10/1/2013 10:12,San Francisco Caltrain (Townsend at 4th),70,10/1/2013 10:26,Market at 10th,67,402,Subscriber,62
41862,574,10/1/2013 16:54,Market at 10th,67,10/1/2013 17:03,San Francisco Caltrain (Townsend at 4th),70,598,Subscriber,62
42285,39559,10/1/2013 21:51,Mountain View Caltrain Station,28,10/2/2013 8:50,Mountain View City Hall,27,627,Customer,62
42339,187,10/2/2013 6:45,Mountain View City Hall,27,10/2/2013 6:48,Mountain View Caltrain Station,28,51,Subscriber,61
42399,587,10/2/2013 7:43,San Francisco Caltrain (Townsend at 4th),70,10/2/2013 7:52,Steuart at Market,74,275,Subscriber,61
42430,277,10/2/2013 8:02,San Jose Diridon Caltrain Station,2,10/2/2013 8:06,San Pedro Square,6,63,Subscriber,61
42533,877,10/2/2013 8:47,San Francisco Caltrain (Townsend at 4th),70,10/2/2013 9:02,Market at 10th,67,313,Subscriber,61
42587,652,10/2/2013 9:04,San Jose Diridon Caltrain Station,2,10/2/2013 9:14,MLK Library,11,678,Subscriber,61
42622,468,10/2/2013 9:13,San Jose Diridon Caltrain Station,2,10/2/2013 9:21,San Jose City Hall,10,44,Subscriber,61
